pair_1,pair_2,Date_Time,Open_price,High_price,Low_price,Close_price,Volume
THETA,USDT,1590518640000.0,0.43899,0.43962,0.43897,0.43962,7113.8
THETA,USDT,1590518700000.0,0.43962,0.43962,0.43898,0.43898,444.0
THETA,USDT,1590518759999.9998,0.43962,0.43962,0.4396,0.4396,1089.3
THETA,USDT,1590518820000.0,0.43898,0.4396,0.43898,0.4396,7021.0
THETA,USDT,1590518880000.0,0.43959,0.4396,0.43897,0.4396,8767.9
THETA,USDT,1590518940000.0,0.43962,0.43962,0.43939,0.43939,8283.2
THETA,USDT,1590519000000.0002,0.43958,0.43958,0.43953,0.43955,7657.7
THETA,USDT,1590519060000.0,0.43955,0.43956,0.43879,0.43956,35564.1
THETA,USDT,1590519120000.0,0.43957,0.43957,0.43879,0.43879,2146.6
THETA,USDT,1590519180000.0,0.43954,0.43954,0.43952,0.43952,6839.9
THETA,USDT,1590519239999.9998,0.43952,0.44065,0.43902,0.43931,26676.6
THETA,USDT,1590519300000.0,0.44064,0.44086,0.43943,0.44076,6400.6
THETA,USDT,1590519360000.0,0.44074,0.44077,0.43911,0.43942,16725.7
THETA,USDT,1590519420000.0,0.43942,0.44074,0.43942,0.44074,5196.6
THETA,USDT,1590519480000.0002,0.44044,0.44075,0.4404,0.44075,4595.4
THETA,USDT,1590519540000.0,0.44,0.44104,0.44,0.44104,18342.2
THETA,USDT,1590519600000.0,0.44076,0.44344,0.44076,0.44344,29245.5
THETA,USDT,1590519660000.0,0.44344,0.44762,0.44344,0.44584,50708.8
THETA,USDT,1590519719999.9998,0.44501,0.44661,0.44307,0.44402,26044.0
THETA,USDT,1590519780000.0,0.44301,0.44439,0.443,0.443,28437.5
THETA,USDT,1590519840000.0,0.44302,0.44466,0.44263,0.4434,26137.8
THETA,USDT,1590519900000.0,0.44352,0.44676,0.44307,0.44676,19916.6
THETA,USDT,1590519960000.0002,0.44675,0.44675,0.44508,0.4452,3127.6
THETA,USDT,1590520020000.0,0.44519,0.44598,0.44483,0.44598,2688.4
THETA,USDT,1590520080000.0,0.44593,0.44593,0.44509,0.44587,5096.0
THETA,USDT,1590520140000.0,0.44587,0.44587,0.44583,0.44583,823.7
THETA,USDT,1590520199999.9998,0.44583,0.44583,0.44505,0.44507,4430.0
THETA,USDT,1590520260000.0,0.44507,0.44577,0.44507,0.44577,3770.3
THETA,USDT,1590520320000.0,0.44576,0.44576,0.445,0.445,8666.8
